input,output
In which chapter of Morocco's customs tariff is the HS code 2933990020 classified?,Chapter 29: Organic Chemicals
What kind of organic compounds does the HS code 2933990020 represent in Morocco's customs tariff?,Carbazole and its salts
What is the first level of classification for carbazole and its salts in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
What specific chemical compounds does the HS code HS:2933990030 refer to in Moroccan Customs Tariff?,"Indole and 1-betamethylindole (scatole) and their salts, which may or may not be heterocyclic compounds with one or more nitrogen heteroatoms. This includes compounds that have a non-condensed pyrazole ring (whether hydrogenated or not) in their structure."
In which chapter of the Moroccan Customs Tariff is the HS code HS:2933990030 located?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2933990030 in Moroccan Customs Tariff?,"Indole and 1-betamethylindole (scatole) and their salts, which may or may not be heterocyclic compounds with one or more nitrogen heteroatoms. This includes compounds that have a non-condensed pyrazole ring (whether hydrogenated or not) in their structure."
"What is the first level of classification for indole and 1-betamethylindole (scatole) and their salts, heterocyclic compounds with one or more nitrogen heteroatoms, non-condensed pyrazole ring in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What does the HS code HS:2933990040 specifically refer to in Moroccan customs?,"Aminoacridines and their derivatives, which may or may not be classified as heterocyclic compounds with nitrogen atoms exclusively, including compounds whose structure features a non-condensed pyrazole ring (whether hydrogenated or not) in Chapter 29: Organic Chemicals."
Which chapter does the HS code HS:2933990040 belong to in Moroccan customs?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2933990040 in Moroccan customs?,"Aminoacridines and their derivatives, which may or may not be classified as heterocyclic compounds with nitrogen atoms exclusively, including compounds whose structure features a non-condensed pyrazole ring (whether hydrogenated or not)"
What is the first level of classification for aminoacridines and their derivatives in Moroccan customs?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for mercaptobenzimidazole in Morocco's customs?,HS:2933990050
Which chapter does the HS code 2933990050 belong to in Morocco's customs tariff classification?,Chapter 29: Organic Chemicals
What type of organic compound does the HS code 2933990050 represent in Morocco's customs tariff classification?,Mercaptobenzimidazole
What is the first level of classification for mercaptobenzimidazole in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
What type of compounds does the HS code 'HS:2934100000' represent in Moroccan customs?,"Compounds whose structure includes a non-condensed thiazole ring (whether or not it is part of the nucleic acids and their salts, with a defined chemical constitution or not); other heterocyclic compounds"
Which chapter in the Moroccan customs tariff classification does the HS code 'HS:2934100000' belong to?,Chapter 29: Organic Chemicals
What is the first level of classification for compounds with a non-condensed thiazole ring in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
Which subcategory of organic chemicals does the HS code 'HS:2934100000' fall under in Moroccan customs tariff?,Compounds whose structure includes a non-condensed thiazole ring - Heading 2934
What type of compounds does the HS tariff code HS:2934200000 apply to?,"Compounds containing a benzothiazole structure (hydrogenated or not), which may or may not be part of Nucleic Acids and their salts, with defined chemical constitution or not; other heterocyclic compounds."
In which chapter of the Moroccan Customs is the HS tariff code HS:2934200000 located?,Chapter 29: Organic Chemicals
What is the first level of classification for compounds with a benzothiazole structure in the Moroccan Customs?,29 - Chapter 29: Organic Chemicals
Which subcategory of organic chemicals do compounds with a benzothiazole structure fall under in the Moroccan Customs?,"HS code 2934 - Heterocyclic compounds, with nitrogen hetero atom, containing only aromatic rings - Heading 2934"
What type of compounds does the HS code HS:2934300000 refer to in Moroccan Customs?,"Compounds containing a phenothiazine structure (hydrogenated or not) without other condensations, which may or may not be part of Nucleic acids and their salts, of definite or undefined chemical composition; other heterocyclic compounds."
Which chapter in the Moroccan Customs tariff classification does the HS code HS:2934300000 belong to?,Chapter 29: Organic Chemicals
What is the specific category of compounds represented by the HS code HS:2934300000 in Moroccan Customs?,"Compounds containing a phenothiazine structure (hydrogenated or not) without other condensations, which may or may not be part of Nucleic acids and their salts, of definite or undefined chemical composition; other heterocyclic compounds."
What is the first level of classification for compounds represented by the HS code HS:2934300000 in Moroccan Customs?,29 - Chapter 29: Organic Chemicals
"What specific HS code is assigned to Aminorex (DCI) and its salts, possibly included in Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds in the Moroccan Customs Tariff?",HS:2934910011
"In which chapter of the Moroccan Customs Tariff is the HS code 2934910011 (Aminorex (DCI) and its salts, possibly included in Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds) located?",Chapter 29: Organic Chemicals
"What type of organic chemicals does the HS code 2934910011 (Aminorex (DCI) and its salts, possibly included in Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds) represent in the Moroccan Customs Tariff?","Aminorex (DCI) and its salts, possibly included in Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds"
"What is the first level of classification for Aminorex (DCI) and its salts, possibly included in Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds (HS code 2934910011) in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for Brotizolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds in Moroccan Customs Tariff?",HS:2934910012
Which chapter in the Moroccan Customs Tariff does the HS code HS:2934910012 belong to?,Chapter 29: Organic Chemicals
What type of substances does the HS code HS:2934910012 represent in Moroccan Customs Tariff?,"Brotizolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds"
"What is the first level of classification for Brotizolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What product or type of substance does the HS code HS:2934910013 apply to?,"Clotiazepam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, defined chemical constitution or not; other heterocyclic compounds."
In which chapter of the Moroccan Customs is the HS code HS:2934910013 located?,Chapter 29: Organic Chemicals
What is the first level of classification for clotiazepam (DCI) and its salts in the HS code HS:2934910013?,HS 29 - Chapter 29: Organic Chemicals
What kind of organic chemicals are represented by the HS code HS:2934910013 in customs tariff classification?,"Clotiazepam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, defined chemical constitution or not; other heterocyclic compounds."
"What is the specific HS code for Cloxazolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds?",2934910014
Which chapter in the Moroccan Customs Tariff does the HS code 2934910014 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code 2934910014 in Moroccan Customs Tariff?,"Cloxazolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds"
"What is the first level of classification for Cloxazolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What product and its variations does the HS code HS:2934910015 refer to in Moroccan customs?,"Dextromoramide (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds."
In which chapter of the Moroccan Customs tariff classification is the HS code HS:2934910015 located?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2934910015 represent in Moroccan customs tariff classification?,"Dextromoramide (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds."
What is the first level of classification for the product referred to by HS code HS:2934910015 in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for haloxazolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, defined or non-defined chemical composition; other heterocyclic compounds?",HS:2934910016
In which chapter of the Moroccan Customs Tariff is the HS code 2934910016 classified?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2934910016 represent in the Moroccan Customs Tariff?,"Haloxazolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, defined or non-defined chemical composition; other heterocyclic compounds"
"What is the first level of classification for haloxazolam (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, defined or non-defined chemical composition; other heterocyclic compounds in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for kétazolam (DCI), mésocarb (DCI), oxazolam (DCI), pémoline (DCI), phendimétrazine (DCI), phenmétrazine (DCI), sufentanil (DCI) and their salts in Moroccan Customs?",HS:2934910017
Which chapter does the HS code 2934910017 belong to in Moroccan Customs tariff classification?,Chapter 29: Organic Chemicals
What type of compounds are represented by the HS code 2934910017 in Moroccan Customs tariff classification?,"Heterocyclic compounds, kétazolam (DCI), mésocarb (DCI), oxazolam (DCI), pémoline (DCI), phendimétrazine (DCI), phenmétrazine (DCI), sufentanil (DCI) and their salts; nucleic acids and their salts, of defined or non-defined chemical constitution"
"What is the first level of classification for kétazolam (DCI), mésocarb (DCI), oxazolam (DCI), pémoline (DCI), phendimétrazine (DCI), phenmétrazine (DCI), sufentanil (DCI) and their salts in Moroccan Customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for mesocarb (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds?",HS:2934910091
In which chapter of the Moroccan Customs Tariff is the HS code 2934910091 located?,Chapter 29: Organic Chemicals
What type of compounds does the HS code 2934910091 represent in the Moroccan Customs Tariff?,"Mesocarb (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds"
"What is the first level of classification for mesocarb (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for oxazolam (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with a defined or undefined chemical constitution; other heterocyclic compounds?",HS:2934910092
In which chapter of the Moroccan customs tariff is the HS code 2934910092 located?,Chapter 29: Organic Chemicals
What type of compounds does the HS code 2934910092 represent in the Moroccan customs tariff classification?,"Oxazolam (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with a defined or undefined chemical constitution; other heterocyclic compounds"
What is the first level of classification for oxazolam (DCI) and its salts in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2934910093 refer to in Moroccan Customs Tariff?,"Pemoline (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with chemically defined or undefined composition; other heterocyclic compounds."
In which chapter does the HS code HS:2934910093 fall under in Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What is the first level of classification for pemoline and its salts in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
Which subcategory of organic chemicals does the HS code HS:2934910093 fall under in Moroccan Customs Tariff?,Other heterocyclic compounds - Heading 2934
What product is represented by the HS code 'HS:2934910094' in Moroccan Customs Tariff?,"Pendimethazine (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds"
In which chapter is the HS code 'HS:2934910094' classified in Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 'HS:2934910094' represent in Moroccan Customs Tariff?,"Pendimethazine (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds"
What is the first level of classification for the product represented by the HS code 'HS:2934910094' in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for phenmetrazine (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds in Moroccan Customs Tariff?",HS:2934910095
In which chapter of the Moroccan Customs Tariff is the HS code 2934910095 located?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2934910095 represent in Moroccan Customs Tariff?,"Phenmetrazine (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds"
"What is the first level of classification for phenmetrazine (DCI) and its salts, which may or may not be part of nucleic acids and their salts, with a defined or undefined chemical composition; other heterocyclic compounds in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
What product or substance does the HS code HS:2934910099 refer to?,"Sufentanil (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or non-defined chemical composition; other heterocyclic compounds."
In which chapter of the Moroccan Customs Tariff is the HS code HS:2934910099 classified?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2934910099 represent?,"Sufentanil (DCI) and its salts, which may or may not be part of Nucleic acids and their salts, of defined or non-defined chemical composition; other heterocyclic compounds."
What is the first level of classification for Sufentanil (DCI) and its salts in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2934920000 refer to in Moroccan Customs?,"Other fentanyls and their derivatives, whether or not they are part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds"
In which chapter is the HS code HS:2934920000 located in Moroccan Customs?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2934920000 represent in Moroccan Customs?,"Other fentanyls and their derivatives, whether or not they are part of Nucleic acids and their salts, of defined or undefined chemical composition; other heterocyclic compounds"
What is the first level of classification for Other fentanyls and their derivatives in Moroccan Customs?,29 - Chapter 29: Organic Chemicals
"What is the HS tariff code for thiophene, which may or may not be a part of nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds in Moroccan customs tariff?",HS:2934990010
In which chapter of the Moroccan customs tariff does the HS code 2934990010 fall under?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 2934990010 represent in the Moroccan customs tariff?,"Thiophene, which may or may not be a part of nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds"
What is the first level of classification for thiophene in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for sulfolanes which may or may not be part of Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds?",HS:2934990020
In which chapter of the Moroccan Customs tariff classification does the HS code 2934990020 belong?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2934990020 in customs tariff classification?,"Sulfolanes which may or may not be part of Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds"
What is the first level of classification for sulfolanes in Moroccan Customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2934990030 refer to in Moroccan Customs?,"Sultames, which may or may not be included in Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds."
In which chapter of the Moroccan Customs tariff classification is the HS code HS:2934990030 located?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2934990030 represent in Moroccan Customs tariff classification?,"Sultames, which may or may not be included in Nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds."
What is the first level of classification for sultames in Moroccan Customs tariff?,29 - Chapter 29: Organic Chemicals
What product or products does the HS code HS:2934990040 represent in Moroccan customs tariff?,"Nucleic acids and their salts, which may or may not be a part of nucleic acids and their salts, with defined or undefined chemical composition; other heterocyclic compounds."
In which chapter is the HS code HS:2934990040 located in Moroccan customs tariff?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2934990040 represent in Moroccan customs tariff?,"Nucleic acids and their salts, other heterocyclic compounds"
What is the first level of classification for the HS code HS:2934990040 in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for N-Methylperfluorooctane sulfonamide?,HS:2935100000
Under which chapter is the HS code 2935100000 classified in the Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 2935100000 represent in customs tariff classification?,N-Methylperfluorooctane sulfonamide
What is the first level of classification for N-Methylperfluorooctane sulfonamide in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for Néthylperfluorooctane sulfonamide?,2935200000
In which chapter of the Moroccan customs tariff is Néthylperfluorooctane sulfonamide (HS:2935200000) classified?,Chapter 29: Organic Chemicals
Is Néthylperfluorooctane sulfonamide (HS:2935200000) a part of the Sulfonamides category?,"Possibly, as HS:2935200000 may refer to Néthylperfluorooctane sulfonamide which is a type of sulfonamide."
What is the first level of classification for Néthylperfluorooctane sulfonamide (HS:2935200000) in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for NéthylN(2hydroxyéhyl) perfluorooctane sulfonamide?,2935300000
Which chapter in the Moroccan Customs does the HS code 2935300000 belong to?,Chapter 29: Organic Chemicals
Is NéthylN(2hydroxyéhyl) perfluorooctane sulfonamide a part of the Sulfonamides category?,"The information provided is unclear, it may or may not be a part of the Sulfonamides category."
What is the first level of classification for NéthylN(2hydroxyéhyl) perfluorooctane sulfonamide in HS code?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for N(2hydroxyethyl)Nmethylperfluorooctane sulfonamide according to Moroccan customs tariff?,HS:2935400000
Which chapter does the HS code 2935400000 belong to in Moroccan customs tariff?,Chapter 29: Organic chemicals
What type of chemical is represented by the HS code 2935400000 in Moroccan customs tariff?,N(2hydroxyethyl)Nmethylperfluorooctane sulfonamide
What is the first level of classification for N(2hydroxyethyl)Nmethylperfluorooctane sulfonamide in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for Other perfluorooctane sulfonamides?,HS:2935500000
In which chapter of the Moroccan Customs Tariff is HS code HS:2935500000 located?,Chapter 29: Organic Chemicals
Which type of chemicals does the HS code HS:2935500000 represent in customs tariff classification?,Other perfluorooctane sulfonamides
What is the first level of classification for Other perfluorooctane sulfonamides in customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code 2936210000 refer to in Moroccan customs?,"Vitamins A and their derivatives, which may or may not be part of Provitamines and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in any solutions."
Which chapter in the Moroccan customs tariff classification does the HS code 2936210000 belong to?,Chapter 29: Organic chemicals
What type of organic chemicals are represented by the HS code 2936210000 in Moroccan customs tariff classification?,"Vitamins A and their derivatives, which may or may not be part of Provitamines and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in any solutions."
What is the first level of classification for Vitamins A and their derivatives in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What product does the HS code HS:2936220000 refer to?,Vitamin B1 and its derivatives
Which chapter in the Moroccan Customs does the HS code HS:2936220000 belong to?,Chapter 29: Organic Chemicals
"Are Provitamins and vitamins, natural or synthesized included in the HS code HS:2936220000?","Yes, Provitamins and vitamins, natural or synthesized are included"
Does the HS code HS:2936220000 include mixed vitamins?,"Yes, mixed vitamins are included"
What product or products does the HS code HS:2936230000 apply to?,Vitamin B2 and its derivatives
Does the HS code HS:2936230000 apply to Provitamins and vitamins?,"Yes, it may or may not be part of Provitamins and vitamins"
Is the HS code HS:2936230000 for natural or synthetic products?,The HS code applies to both natural and synthetically reproduced vitamins
In which chapter of the Moroccan Customs is the HS code HS:2936230000 located?,Chapter 29: Organic Chemicals
What product does the HS code HS:2936240000 relate to?,"D/DL-Pantothenic Acid (Vitamin B5) and its derivatives, which may or may not be part of Provitamins and vitamins, natural or synthetically produced (including natural concentrates), as well as their derivatives primarily used as vitamins, either mixed together or not, even in any solutions."
Which chapter in the Moroccan Customs Tariff does the HS code HS:2936240000 belong to?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2936240000 in Moroccan Customs Tariff?,"D/DL-Pantothenic Acid (Vitamin B5) and its derivatives, which may or may not be part of Provitamins and vitamins, natural or synthetically produced (including natural concentrates), as well as their derivatives primarily used as vitamins, either mixed together or not, even in any solutions."
What is the first level of classification for D/DL-Pantothenic Acid (Vitamin B5) and its derivatives in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2936250000 specifically pertain to?,"Vitamin B6 and its derivatives, which may or may not be part of Provitamins and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in various solutions."
In which chapter of the Moroccan Customs Tariff Classification is HS:2936250000 found?,Chapter 29: Organic Chemicals
What type of products are covered by the HS code HS:2936250000 in Moroccan Customs?,"Vitamin B6 and its derivatives, which may or may not be part of Provitamins and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in various solutions."
What is the first level of classification for Vitamin B6 and its derivatives in Moroccan Customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2936260000 apply to?,Vitamin B12 and its derivatives
Does the HS code HS:2936260000 include Provitamins?,"Yes, it may include Provitamins"
Is the HS code HS:2936260000 located in the chapter on Organic Chemicals?,"Yes, it is located in Chapter 29: Organic Chemicals"
Does the HS code HS:2936260000 cover natural or synthesized vitamins?,"Yes, it covers both natural and synthesized vitamins"
"What is the specific HS code for Vitamin C and its derivatives, which may or may not be part of Provitamins and vitamins, naturally occurring or synthesized through reproduction (including natural concentrates), as well as their derivatives primarily used as vitamins, whether mixed or not, even in various solutions?",HS:2936270000
Under which heading does the HS code 2936270000 fall in Morocco's customs department?,Heading 29: Organic Chemical Products
What type of products are represented by the HS code 2936270000 in Morocco's customs tariff classification?,"Vitamin C and its derivatives, which may or may not be part of Provitamins and vitamins, naturally occurring or synthesized through reproduction (including natural concentrates), as well as their derivatives primarily used as vitamins, whether mixed or not, even in various solutions"
What is the first level of classification for Vitamin C and its derivatives under Morocco's customs tariff?,29 - Heading 29: Organic Chemical Products
What product does the HS code HS:2936280000 specifically pertain to?,"Vitamin E and its derivatives, which may or may not be part of Provitamins and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in various solutions."
In which chapter of the Moroccan Customs is the HS code HS:2936280000 located?,Chapter 29: Organic Chemicals
What is the type of product that the HS code HS:2936280000 represents in customs tariff classification?,"Vitamin E and its derivatives, which may or may not be part of Provitamins and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in various solutions."
What is the first level of classification for Vitamin E and its derivatives in customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code :2936290010 specifically refer to?,"Vitamin H, which may or may not be part of the Provitamines and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in any solutions."
In which chapter of the Moroccan Customs does the HS code :2936290010 belong?,Chapter 29: Organic Chemicals
What is the type of product that HS code :2936290010 represents in customs tariff classification?,"Vitamin H, which may or may not be part of the Provitamines and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in any solutions."
What is the first level of classification for Vitamin H in customs tariff?,29 - Chapter 29: Organic Chemicals
What product is referred to by the HS code HS:2936290020 in Moroccan customs?,"Vitamin B9, which can be a part of Provitamins and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in any solutions."
Which chapter does the HS code HS:2936290020 belong to in Moroccan customs?,Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2936290020 in Moroccan customs?,"Vitamin B9, which can be a part of Provitamins and vitamins, natural or synthesized (including natural concentrates), as well as their derivatives primarily used as vitamins, mixed or not with each other, even in any solutions."
What is the first level of classification for Vitamin B9 in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the HS code for nicotinic acid (pyridine-3-carboxylic acid) (vitamin B3)?,HS:2936290040
Which chapter in the customs tariff classification does the HS code 2936290040 belong to?,Chapter 29: Organic Chemicals
What type of substances are represented by the HS code 2936290040 in customs tariff classification?,"Nicotinic acid (pyridine-3-carboxylic acid) (vitamin B3), Provitamins and vitamins, natural or synthesized through reproduction, as well as their derivatives"
What is the first level of classification for nicotinic acid (pyridine-3-carboxylic acid) (vitamin B3) in customs tariff?,29 - Chapter 29: Organic Chemicals
What product does the HS code HS:2936901000 mainly represent in Moroccan Customs Tariff?,Provitamins and their derivatives primarily used as vitamins
In which chapter of the Moroccan Customs Tariff is the HS code HS:2936901000 located?,Chapter 29: Organic Chemicals
What are the main types of products included in the HS code HS:2936901000 in Moroccan Customs Tariff?,"Provitamins and their derivatives primarily used as vitamins, which may be natural or synthetic, and their derivatives"
Which heading does the HS code HS:2936901000 belong to in Moroccan Customs Tariff?,Heading 2936: Other organic compounds
What product does the HS code HS:2936909011 refer to?,Natural vitamin A + D concentrates
Which chapter in the Moroccan customs tariff does the HS code HS:2936909011 belong to?,Chapter 29: Organic chemicals
What is the type of product represented by the HS code HS:2936909011 in customs tariff classification?,"Natural vitamin A + D concentrates, which may or may not include provitamins and naturally occurring or synthetically produced vitamins and their derivatives, used mainly as vitamins, mixed or not with each other, even in various solutions"
What is the first level of classification for natural vitamin A + D concentrates in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What type of product does the HS code 2936909090 refer to?,"Mixtures, non-aqueous solutions of provitamins or vitamins that may or may not be part of the provitamins and vitamins, natural or synthesized through synthesis (including natural concentrates), as well as their derivatives used primarily as vitamins, mixed or not with each other, even in any solutions"
Which chapter does the HS code 2936909090 belong to in Morocco's customs tariff classification?,Chapter 29: Organic Chemicals
What is the primary use of the products classified under HS code 2936909090?,"Used primarily as vitamins, mixed or not with each other, even in any solutions"
Does the HS code 2936909090 cover aqueous solutions of provitamins or vitamins?,"No, the HS code 2936909090 does not cover aqueous solutions of provitamins or vitamins"
What type of products does the HS code HS:2937111000 refer to in Morocco's customs code?,"Other substances that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetically produced; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones."
Which chapter in Morocco's customs code does the HS code HS:2937111000 belong to?,Chapter 29: Organic chemicals
What kind of substances are represented by the HS code HS:2937111000 in Morocco's customs code?,"Substances that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetically produced; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones."
What is the first level of classification for HS code HS:2937111000 in Morocco's customs code?,29 - Chapter 29: Organic chemicals
What is the Harmonized System (HS) code HS:2937120010 for in the Moroccan customs tariff?,HS:2937120010
Does the HS code HS:2937120010 include insulin in its classification?,"Yes, HS:2937120010 includes insulin."
In which chapter of the Moroccan customs tariff is the HS code HS:2937120010 classified?,Chapter 29: Organic chemicals
What category does the HS code HS:2937120010 belong to in the Moroccan customs tariff?,"Hormones, prostaglandins, thromboxanes, and leucotrienes, as well as their natural or synthetic derivatives and structural analogs, including modified peptide chains, primarily used as hormones."
What type of product does the HS code HS:2937120090 refer to in Moroccan customs tariff?,"Insulin salts, which may or may not be included in hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their derivatives and structural analogs, including modified chain polypeptides, used mainly as hormones."
Which chapter does the HS code HS:2937120090 belong to in Moroccan customs tariff?,Chapter 29: Organic chemicals
Does the HS code HS:2937120090 fall under the category of polypeptide hormones in Moroccan customs tariff?,"Yes, insulin salts are a type of polypeptide hormone."
What is the first level of classification for insulin salts in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the HS tariff code mentioned in the given information?,HS:2937191000
Which chapter of Moroccan customs tariff does the HS code 2937191000 belong to?,Chapter 29: Organic chemicals
What type of products does the HS code 2937191000 represent in customs tariff classification?,"Products defined in Note 8 of this chapter, which may or may not be part of the category of Hormones, prostaglandins, thromboxanes and leucotrienes, natural or synthesized; their derivatives and structural analogues, including modified chain polypeptides, used mainly as hormones. Polypeptide hormones are in chapter 29: Organic chemicals"
Does the HS code 2937191000 apply to products of the number 2934990090?,"Yes, according to the given information"
"What is the specific HS code for Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortisone)?",2937210000
Which chapter in the customs tariff classification does the HS code 2937210000 belong to?,Chapter 29: Organic chemicals
What type of substances are represented by the HS code 2937210000 in customs tariff classification?,"Hormones, prostaglandins, thromboxanes, and leukotrienes, natural or synthesized; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones"
