question,agent1,agent2,agent3,final_answer
What is the first level of classification for natural vitamin A + D concentrates in Moroccan customs tariff?,(HScodeFinder) The HS code for natural vitamin A + D concentrates is 2901100000.,"(ChapterClassifier) Chapter 29 includes organic chemicals, which covers natural vitamin A + D concentrates.",(ProductIdentifier) Natural vitamin A + D concentrates are classified under Chapter 29 in Moroccan customs tariff.,29 - Chapter 29: Organic chemicals
What type of product does the HS code 2936909090 refer to?,"(HScodeFinder) The HS code 2936909090 is classified under the chapter of chemical products and prepared articles, specifically for mixtures of provitamins or vitamins.","(ChapterClassifier) The chapter classification for this HS code is Chapter 29, which includes chemical products and prepared articles, particularly those related to vitamins and provitamins.","(ProductIdentifier) The product identified by HS code 2936909090 is mixtures of non-aqueous solutions of provitamins or vitamins, used primarily as vitamins, mixed or not with each other, even in any solutions.","Mixtures, non-aqueous solutions of provitamins or vitamins that may or may not be part of the provitamins and vitamins, natural or synthesized through synthesis (including natural concentrates), as well as their derivatives used primarily as vitamins, mixed or not with each other, even in any solutions"
Which chapter does the HS code 2936909090 belong to in Morocco's customs tariff classification?,"(HScodeFinder) The HS code 2936909090 is classified under Chapter 29, which pertains to Organic Chemicals.","(ChapterClassifier) Chapter 29 is designated for Organic Chemicals, as per Morocco's customs tariff classification.","(ProductIdentifier) The HS code 2936909090 belongs to Chapter 29, which includes Organic Chemicals.",Chapter 29: Organic Chemicals
What is the primary use of the products classified under HS code 2936909090?,"(HScodeFinder) The HS code 2936909090 is classified under Chapter 29, which includes organic chemicals, specifically those containing nitrogen, such as amino acids, derivatives, and related compounds.","(ChapterClassifier) Chapter 29 covers organic chemicals, including those with nitrogen, which aligns with the primary use of the products as vitamins, mixed or not with each other, even in any solutions.","(ProductIdentifier) The products under HS code 2936909090 are primarily used as vitamins, either mixed or not, and may be present in various solutions.","Used primarily as vitamins, mixed or not with each other, even in any solutions"
Does the HS code 2936909090 cover aqueous solutions of provitamins or vitamins?,"(HScodeFinder) The HS code 2936909090 is classified under Chapter 29, which includes organic chemicals, but not aqueous solutions of provitamins or vitamins.","(ChapterClassifier) Chapter 29 covers organic chemicals, which does not include aqueous solutions of provitamins or vitamins.",(ProductIdentifier) Aqueous solutions of provitamins or vitamins are not covered by HS code 2936909090.,"No, the HS code 2936909090 does not cover aqueous solutions of provitamins or vitamins"
What type of products does the HS code HS:2937111000 refer to in Morocco's customs code?,"(HScodeFinder) The HS code HS:2937111000 is classified under Chapter 29, which includes other substances that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetically produced; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, including various organic compounds and their derivatives, which aligns with the description of the products under HS:2937111000.","(ProductIdentifier) The products under HS:2937111000 are other substances that may or mayity be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetically produced; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones.","Other substances that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetically produced; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones."
Which chapter in Morocco's customs code does the HS code HS:2937111000 belong to?,"(HScodeFinder) The HS code HS:2937111000 is classified under Chapter 29, which is dedicated to Organic Chemicals.","(ChapterClassifier) The chapter classification for HS:2937111000 is Chapter 29, which is categorized under Organic Chemicals.","(ProductIdentifier) The HS code HS:2937111000 belongs to Chapter 29, which is part of the Organic Chemicals category in Morocco's customs code.",Chapter 29: Organic chemicals
What kind of substances are represented by the HS code HS:2937111000 in Morocco's customs code?,"(HScodeFinder) The HS code HS:2937111000 is classified under Chapter 29, which includes substances related to hormones, prostaglandins, thromboxanes, and leukotrienes.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, including various biologically active substances and their derivatives.","(ProductIdentifier) The specific HS code HS:2937111000 refers to a range of biologically active substances, including hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetic.","Substances that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, whether natural or synthetically produced; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones."
What is the first level of classification for HS code HS:2937111000 in Morocco's customs code?,"(HScodeFinder) The HS code HS:2937111000 is classified under Chapter 29, which is dedicated to Organic Chemicals.","(ChapterClassifier) Chapter 29 in Morocco's customs code is specifically designated for Organic Chemicals, which includes a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The first level of classification for HS code HS:2937111000 is Chapter 29, encompassing Organic Chemicals, which are fundamental in various industrial and pharmaceutical applications.",29 - Chapter 29: Organic chemicals
What is the Harmonized System (HS) code HS:2937120010 for in the Moroccan customs tariff?,(HScodeFinder) The HS code HS:2937120010 is classified under the chapter for 'Other organic chemicals' in the Moroccan customs tariff.,"(ChapterClassifier) The chapter for HS:2937120010 is classified under Chapter 29, which includes 'Other organic chemicals'.",(ProductIdentifier) The HS code HS:2937120010 refers to 'Other organic chemicals' in the Moroccan customs tariff.,HS:2937120010
Does the HS code HS:2937120010 include insulin in its classification?,"(HScodeFinder) The HS code HS:2937120010 is classified under Chapter 29, which includes insulin as a product.","(ChapterClassifier) Chapter 29 covers pharmaceutical products, and insulin is a commonly used medication in this category.","(ProductIdentifier) Insulin is a protein hormone used in the treatment of diabetes, and it is properly classified under HS code HS:2937120010.","Yes, HS:2937120010 includes insulin."
In which chapter of the Moroccan customs tariff is the HS code HS:2937120010 classified?,"(HScodeFinder) The HS code HS:2937120010 is classified under Chapter 29 of the Moroccan customs tariff, which covers organic chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff is designated for the classification of organic chemicals, as indicated by the HS code HS:2937120010.","(ProductIdentifier) The HS code HS:2937120010 specifically refers to organic chemicals, which are categorized under Chapter 29 of the Moroccan customs tariff.",Chapter 29: Organic chemicals
What category does the HS code HS:2937120010 belong to in the Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2937120010 is classified under Chapter 29, which includes hormones, prostaglandins, thromboxanes, leucotrienes, and their derivatives.",(ChapterClassifier) Chapter 29 of the Moroccan customs tariff specifically categorizes these compounds as part of the hormone and related substances category.,"(ProductIdentifier) The HS code HS:2937120010 refers to hormones, prostagque, thromboxanes, leucotrienes, and their derivatives, which are classified under Chapter 29.","Hormones, prostaglandins, thromboxanes, and leucotrienes, as well as their natural or synthetic derivatives and structural analogs, including modified peptide chains, primarily used as hormones."
What type of product does the HS code HS:2937120090 refer to in Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2937120090 is classified under Chapter 29, which includes hormones, prostaglandins, thromboxanes, and their derivatives.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff specifically covers hormones, prostaglandins, thromboxanes, and their derivatives, including structural analogs and modified chain polypeptides.","(ProductIdentifier) The product identified by HS:2937120090 is insulin salts, which may or may not be included in the broader category of hormones and their derivatives.","Insulin salts, which may or may not be included in hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their derivatives and structural analogs, including modified chain polypeptides, used mainly as hormones."
Which chapter does the HS code HS:2937120090 belong to in Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2937120090 is classified under Chapter 29, which is dedicated to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is categorized under the broader classification of organic chemicals, which includes various derivatives and compounds.","(ProductIdentifier) The specific HS code HS:2937120090 identifies a product related to organic chemicals, particularly those used in the production of synthetic materials and pharmaceuticals.",Chapter 29: Organic chemicals
Does the HS code HS:2937120090 fall under the category of polypeptide hormones in Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2937120090 is classified under the category of polypeptide hormones, specifically insulin salts, which are used in medical treatments.","(ChapterClassifier) The HS code HS:2937120090 falls under Chapter 29, which includes hormones and related substances, aligning with the category of polypeptide hormones.","(ProductIdentifier) Insulin salts, as specified by the HS code HS:2937120090, are indeed a type of polypeptide hormone, confirming their classification in Moroccan customs tariff.","Yes, insulin salts are a type of polypeptide hormone."
What is the first level of classification for insulin salts in Moroccan customs tariff?,"(HScodeFinder) Insulin salts are classified under Chapter 29, which includes organic chemicals. The HS code for insulin salts would be in this chapter, but the exact code requires further classification.","(ChapterClassifier) Chapter 29 of the Moroccan customs tariff includes organic chemicals, which encompasses insulin salts. This chapter is the first level of classification for such products.","(ProductIdentifier) Insulin salts are a type of organic chemical, specifically a protein or peptide, and are classified under Chapter 29. They are not classified under other chapters as they are not inorganic or synthetic compounds.",29 - Chapter 29: Organic chemicals
What is the HS tariff code mentioned in the given information?,"(HScodeFinder) The HS code HS:2937191000 is identified as a specific tariff code for certain products, typically related to chemical substances or compounds.","(ChapterClassifier) The chapter classification for HS:2937191000 falls under Chapter 29, which includes organic chemicals and their derivatives.","(ProductIdentifier) The product identified by HS:2937191000 is likely a specific type of chemical compound, such as a derivative of certain organic molecules.",HS:2937191000
Which chapter of Moroccan customs tariff does the HS code 2937191000 belong to?,"(HScodeFinder) The HS code 2937191000 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The HS code 2937191000 specifically refers to organic chemicals, such as certain derivatives and compounds.",Chapter 29: Organic chemicals
What type of products does the HS code 2937191000 represent in customs tariff classification?,"(HScodeFinder) The HS code 2937191000 is classified under Chapter 29, which includes organic chemicals, specifically those related to hormones, prostaglandins, thromboxanes, and leucotrienes, as welled as their derivatives and structural analogues.","(ChapterClassifier) Chapter 29 is designated for organic chemicals, and the specific subchapter 2937191000 is used for products related to hormones, prostaglandins, thromboxanes, and leucotrienes, including their derivatives and structural analogues.","(ProductIdentifier) The products under HS code 2937191000 are those defined in Note 8 of Chapter 29, which may or may not be part of the category of hormones, prostaglandins, thromboxanes, and leucotrienes, natural or synthesized, and their derivatives and structural analogues, including modified chain polypeptides, used mainly as hormones.","Products defined in Note 8 of this chapter, which may or may not be part of the category of Hormones, prostaglandins, thromboxanes and leucotrienes, natural or synthesized; their derivatives and structural analogues, including modified chain polypeptides, used mainly as hormones. Polypeptide hormones are in chapter 29: Organic chemicals"
Does the HS code 2937191000 apply to products of the number 2934990090?,"(HScodeFinder) The HS code 2937191000 is classified under Chapter 29, which includes products of chemical origin, specifically those related to organic chemicals and their derivatives.","(ChapterClassifier) Chapter 29 covers organic chemicals and their derivatives, which includes the HS code 2937191000. The code 2934990090 falls under a different subchapter but is still within the broader scope of Chapter 29.","(ProductIdentifier) The product identified by HS code 2934990090 is a specific type of organic chemical, likely a derivative of a base compound, which is within the general classification of Chapter 29 as per the HS system.","Yes, according to the given information"
"What is the specific HS code for Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortisone)?","(HScodeFinder) The HS code for Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortityone) is 2937210000.","(ChapterClassifier) The HS code 2937210000 falls under Chapter 29, which is for Organic chemicals.","(ProductIdentifier) Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortisone) are corticosteroids used in pharmaceuticals.",2937210000
Which chapter in the customs tariff classification does the HS code 2937210000 belong to?,"(HScodeFinder) The HS code 2937210000 is classified under Chapter 29, which is dedicated to organic chemicals.",(ChapterClassifier) Chapter 29 in the customs tariff classification is specifically for organic chemicals.,"(ProductIdentifier) The HS code 2937210000 belongs to Chapter 29, which is categorized under organic chemicals.",Chapter 29: Organic chemicals
What type of substances are represented by the HS code 2937210000 in customs tariff classification?,"(HScodeFinder) The HS code 2937210000 is classified under Chapter 29, which includes hormones, prostaglandins, thromboxanes, and leukotrienes, natural or synthesized, and their derivatives and structural analogues.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, including a wide range of biologically active substances such as hormones, prostaglandins, and their derivatives.","(ProductIdentifier) The substances represented by HS code 2937210000 are primarily hormones, prostaglandins, thromboxanes, and leukotrienes, natural or synthesized, and their derivatives and structural analogues.","Hormones, prostaglandins, thromboxanes, and leukotrienes, natural or synthesized; their derivatives and structural analogues, including modified polypeptide chains, primarily used as hormones"
"What is the first level of classification for Cortisone, hydrocortisone, prednisone (dehydrocortisone), and prednisolone (dehydrohydrocortisone) in customs tariff?","(HScodeFinder) The HS code for Cortisone, hydrocortisone, prednisone, and prednisolone is 2901100000.","(ChapterClassifier) The first level of classification for these compounds is Chapter 29, which covers organic chemicals.","(ProductIdentifier) Cortisone, hydrocortisone, prednisone, and prednisolone are classified under Chapter 29 of the customs tariff.",29 - Chapter 29: Organic chemicals
What type of substances are referred to by the HS code HS:2937220000 in Morocco's customs tariff?,"(HScodeFinder) The HS code HS:2937220000 is classified under the chapter of organic chemicals, specifically those containing halogenated derivatives of corticosteroid hormones.","(ChapterClassifier) The chapter classification for HS:2937220000 falls under Chapter 29, which includes organic chemicals, particularly those containing halogenated derivatives of corticosteroid hormones.","(ProductIdentifier) The substances referred to by HS:2937220ity are halogenated derivatives of corticosteroid hormones, which are typically used in pharmaceutical and medical applications.",Halogenated derivatives of corticosteroid hormones
Which chapter does the HS code HS:2937220000 belong to in Morocco's customs tariff?,"(HScodeFinder) The HS code HS:2937220000 is classified under Chapter 29, which includes organic chemicals.","(ChapterClassifier) Chapter 29 in Morocco's customs tariff is designated for organic chemicals, specifically covering compounds containing carbon and hydrogen.","(ProductIdentifier) The HS code HS:2937220000 belongs to Chapter 29, which is categorized under organic chemicals in the Moroccan customs tariff.",Chapter 29: Organic chemicals
What is the primary use of substances classified under HS code HS:2937220000 in Morocco's customs tariff?,"(HScodeFinder) The HS code HS:2937220000 is classified under Chapter 29, which includes organic chemicals, including those used as hormones.","(ChapterClassifier) Chapter 29 of the HS tariff primarily covers organic chemicals, which are often used as hormones in various industrial and agricultural applications.","(ProductIdentifier) Substances under HS:2937220000 are primarily used as hormones in Morocco's customs tariff, as confirmed by the classification and tariff information.",Mainly used as hormones
"Does the HS code HS:2937220000 fall under the category of Hormones, prostaglandins, thromboxanes and leucotrienes, natural or synthesized; their derivatives and structural analogues, including modified polypeptide chains in Morocco's customs tariff?","(HScodeFinder) The HS code HS:2937220000 is classified under the category of Hormones, prostaglandins, thromboxanes and leucotrienes, natural or synthesized; their derivatives and structural analogues, including modified polypeptide chains in Morocco's customs tariff.","(ChapterClassifier) The HS code HS:2937220000 falls under Chapter 29, which includes Hormones, prostaglandins, thromboxanes and leucotrienes, natural or synthesized; their derivatives and structural analogues, including modified polypeptide chains.","(ProductIdentifier) The HS code HS:2937220000 refers to a product that may or may not be included in the category of Hormones, prostaglandins, thromboxanes and leucot-than-10000000000000000000000000000000","Yes, it may or may not be included in this category"
What type of substances does the HS code HS:2937230000 refer to in Morocco's customs?,"(HScodeFinder) The HS code HS:2937230000 is classified under Chapter 29, which includes organic chemicals, including those derived from petroleum, and other organic chemicals.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, which encompasses a wide range of substances, including estrogens and progestogens.","(ProductIdentifier) The HS code HS:2937230000 refers to estrogens and progestogens, which are primarily used as hormones and may have derivatives related to prostaglandins, thromboxanes, and leukotrienes.","Estrogens and progestogens, which may or may not be classified as Hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their natural or synthetic derivatives and structural analogs, including modified polypeptide chains, primarily used as hormones."
Which chapter in Morocco's customs tariff classification does the HS code HS:2937230000 belong to?,"(HScodeFinder) The HS code HS:2937230000 is classified under Chapter 29, which is dedicated to Organic Chemicals.",(ChapterClassifier) Chapter 29 in Morocco's customs tariff classification is specifically for Organic Chemicals.,"(ProductIdentifier) The HS code HS:2937230000 belongs to Chapter 29, which is categorized under Organic Chemicals.",Chapter 29: Organic Chemicals
What is the primary use of the substances referred to by the HS code HS:2937230000 in customs tariff classification?,"(HScodeFinder) The HS code HS:2937230000 is classified under Chapter 29, which includes organic chemicals, including those derived from petroleum.","(ChapterClassifier) Chapter 29 encompasses a wide range of organic chemicals, including hormones and other bioactive substances.","(ProductIdentifier) The substances in HS:2937230000 are primarily used as hormones, which are essential in various biological and medical applications.",Primarily used as hormones.
What is the first level of classification for estrogens and progestogens in Morocco's customs tariff?,(HScodeFinder) The HS code for estrogens and progestogens is 2901100000.,(ChapterClassifier) Chapter 29 is classified under the category of Organic Chemicals.,(ProductIdentifier) Estrogens and progestogens are identified as organic compounds in Chapter 29.,29 - Chapter 29: Organic Chemicals
"What is the HS tariff classification code for products related to hormones, prostaglandins, thromboxanes, and leucotrienes, whether natural or synthesized; their derivatives and structural analogues in Moroccan customs tariff?","(HScodeFinder) The HS code HS:2937291000 is directly provided in the answer for products related to hormones, prostaglandins, thromboxanes, and leucotrienes, whether natural or synthesized; their derivatives and structural analogues.","(ChapterClassifier) The chapter classification for HS:2937291000 is Chapter 29, which includes hormones, prostaglandins, thromboxanes, and leucotrienes, whether natural or synthesized; their derivatives and structural analogues.","(ProductIdentifier) The product identifier for HS:2937291000 is hormones, prostaglandins, thromboxanes, and leucotrienes, whether natural or synthesized; their derivatives and structural analogues.",HS:2937291000
"What category does the HS tariff classification code HS:2937291000 belong to, as defined in Note 8 of this chapter?","(HScodeFinder) The HS code HS:2937291000 is classified under Chapter 29, which includes organic chemicals and their derivatives, specifically in the subheading for alkyl halides.","(ChapterClassifier) The chapter classification for HS:2937291000 is Chapter 29, which covers organic chemicals and their derivatives, including alkyl halides.","(ProductIdentifier) The product identified under HS:2937291000 is alkyl halides, which are organic compounds containing at least one halogen atom attached to an alkyl group.",Category 2914500000
Which chapter in the Moroccan customs tariff does the HS code HS:2937291000 belong to?,"(HScodeFinder) The HS code HS:2937291000 is classified under Chapter 29, which is dedicated to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is specifically categorized under Organic Chemicals, which includes a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The HS code HS:2937291000 belongs to Chapter 29, which is part of the broader category of Organic Chemicals in the Moroccan customs tariff system.",Chapter 29: Organic chemicals
Does the HS tariff classification code HS:2937291000 include hormones in Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2937291000 is identified as a specific tariff classification code for certain chemical substances, particularly polypeptide hormones.","(ChapterClassifier) The HS code HS:2937291000 falls under Chapter 29, which is dedicated to organic chemicals, including various types of hormones and peptides.","(ProductIdentifier) The HS code HS:2937291000 specifically includes polypeptide hormones, which are a type of hormone used in medical and pharmaceutical applications.","Yes, polypeptide hormones are included in the HS code HS:2937291000."
"What is the HS code for products defined in Note 8 of chapter 29, which may be related to hormones and their derivatives?","(HScodeFinder) The HS code HS:2937501000 is associated with products related to hormones and their derivatives, as specified in Note 8 of Chapter 29.","(ChapterClassifier) Chapter 29 includes a note (Note 8) that refers to hormones and their derivatives, which are classified under this chapter.","(ProductIdentifier) The product identified under HS:2937501000 is related to hormones and their derivatives, as noted in Note 8 of Chapter 29.",HS:2937501000
Does the HS code 2937501000 apply to products classified as hormones or related substances in Note 8 of chapter 29?,"(HScodeFinder) The HS code 2937501000 is classified under Chapter 29, which includes hormones and related substances as per Note 8.","(ChapterClassifier) Chapter 29 covers a wide range of organic chemicals, including hormones and related substances, as specified in Note 8.","(ProductIdentifier) The products under HS code 2937501000 are indeed classified as hormones or related substances, aligning with Note 8 of Chapter 29.",Yes
Which chapter in the Moroccan customs tariff does the HS code 2937501000 belong to?,"(HScodeFinder) The HS code 2937501000 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The HS code 2937501000 specifically refers to organic chemicals, such as those used in the production of plastics and other synthetic materials.",Chapter 29: Organic chemicals
Are polypeptide hormones covered by the HS code 2937501000 in the Moroccan customs tariff?,"(HScodeFinder) The HS code 2937501000 is classified under Chapter 29, which includes organic chemicals, including those derived from petroleum.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff covers organic chemicals, including those derived from petroleum, and Note 8 specifies exceptions or additional classifications for certain products.","(ProductIdentifier) Polypeptide hormones, being organic chemicals, are likely covered under Chapter 29, particularly if they meet the criteria outlined in Note 8.","Yes, if they are part of the products defined in Note 8 of chapter 29"
What is the specific HS code mentioned in the given information?,(HScodeFinder) The HS code mentioned in the given information is HS:2937901000.,"(ChapterClassifier) The HS code HS:2937901000 falls under Chapter 29, which is for Organic chemicals and their derivatives.","(ProductIdentifier) The product identified by HS:2937901000 is a specific type of organic chemical, likely a derivative of a base compound.",HS:2937901000
Which chapter of the Moroccan customs tariff does the HS code 2937901000 belong to?,"(HScodeFinder) The HS code 2937901000 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 is designated for organic chemicals, including compounds like alcohols and esters.",(ProductIdentifier) The HS code 2937901000 specifically identifies a range of organic chemical substances used in industrial applications.,Chapter 29: Organic chemicals
What type of products does the HS code 2937901000 represent according to the given information?,"(HScodeFinder) The HS code 2937901000 is associated with other items that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their derivatives and structural analogs, including modified polypeptide chains used primarily as hormones.","(ChapterClassifier) The HS code 2937901000 falls under Chapter 29, which includes hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their derivatives and structural analogs.","(ProductIdentifier) The products represented by HS code 2937901000 are other items that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotitynes, as well as their derivatives and structural analogs, including modified polypeptide chains used primarily as hormones.","Other items that may or may not be classified as hormones, prostaglandins, thromboxanes, and leukotrienes, as well as their derivatives and structural analogs, including modified polypeptide chains used primarily as hormones"
Which code in Note 8 of chapter 29 is the HS code 2937901000 related to?,"(HScodeFinder) The HS code 2937901000 is related to the chemical compound 2-ethylhexyl acetate, which is used in the production of polyurethanes and other synthetic materials.","(ChapterClassifier) Chapter 29 of the HS system covers organic chemicals, and the code 2937901000 falls under this category, specifically relating to esters of fatty acids.","(ProductIdentifier) The code 2937901000 is associated with the product 2-ethylhexyl acetate, which is a type of ester used in various industrial applications.",Code 2934990090
"What specific HS code is assigned to Rutoside (rutin) and its derivatives, as well as their salts, ethers, esters, and other derivatives in Moroccan Customs Tariff?","(HScodeFinder) The HS code for Rutoside (rutin) and its derivatives, along with their salts, ethers, esters, and other derivatives, is HS:2938100000.","(ChapterClassifier) Chapter 29 of the Moroccan Customs Tariff includes the classification of Rutoside (rutin) and its derivatives, which falls under Heading 2938100000.","(ProductIdentifier) Rutoside (rutin) is identified as a specific product under the HS code HS:2938100000, which is classified in Chapter 29, Heading 2938100000.",HS:2938100000
In which chapter of the Moroccan Customs Tariff is the HS code 2938100000 located?,"(HScodeFinder) The HS code 2938100000 is classified under Chapter 29, which deals with organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan Customs Tariff is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The HS code 2938100000 specifically refers to organic chemicals, such as certain derivatives and compounds.",Chapter 29: Organic Chemicals
What type of substances are represented by the HS code 2938100000 in Moroccan Customs Tariff classification?,"(HScodeFinder) The HS code 2938100000 is identified as referring to Rutoside (rutin) and its derivatives, as well as their salts, ethers, esters, and other derivatives.","(ChapterClassifier) The HS code 2938100000 falls under Chapter 29, which is dedicated to organic chemicals, including those derived from petroleum, coal, or other mineral sources.","(ProductIdentifier) The substances represented by HS code 2938100000 are Rutoside (rutin) and its derivatives, along with their salts, ethers, esters, and other derivatives.","Rutoside (rutin) and its derivatives, as well as their salts, ethers, esters, and other derivatives"
What is the first level of classification for Rutoside (rutin) and its derivatives in Moroccan Customs Tariff?,"(HScodeFinder) Rutoside (rutin) and its derivatives are classified under HS code 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is designated for Organic Chemicals, encompassing compounds like Rutoside (rutin) and its derivatives.","(ProductIdentifier) Rutoside (rutin) is identified as a flavonoid glycoside, commonly used in pharmaceutical and food industries, aligning with the classification in Chapter 29.",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for digitalines or their salts, ethers, esters, and other derivatives?","(HScodeFinder) The HS code for digitalines or their salts, ethers, esters, and other derivatives is HS:2938900010.","(ChapterClassifier) The HS code HS:2938900.10 falls under Chapter 29, which covers organic chemicals.","(ProductIdentifier) The product identified by HS:2938900010 is digitalines or their salts, ethers, esters, and other derivatives.",HS:2938900010
Which chapter in the Moroccan customs tariff does the HS code 2938900010 belong to?,"(HScodeFinder) The HS code 2938900010 is classified under Chapter 29, which is dedicated to Organic Chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is specifically categorized under Organic Chemicals, as indicated by the HS code 2938900010.","(ProductIdentifier) The HS code 2938900010 belongs to Chapter 29, which is part of the Organic Chemicals category in the Moroccan customs tariff.",Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2938900010 in customs tariff classification?,"(HScodeFinder) The HS code 2938900010 is classified under Chapter 29, which includes organic chemicals, specifically those related to digitalines and their derivatives.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, including compounds like digitalines, their salts, ethers, esters, and other derivatives.","(ProductIdentifier) The HS code 2938900010 specifically refers to digitalines or their salts, ethers, esters, and other derivatives, which are organic compounds used in pharmaceuticals and chemical industries.","Digitalines or their salts, ethers, esters, and other derivatives"
"What is the first level of classification for digitalines or their salts, ethers, esters, and other derivatives in customs tariff?","(HScodeFinder) The HS code for digitalines or their salts, ethers, esters, and other derivatives is 2901100000.","(ChapterClassifier) Chapter 29 is classified under the category of Organic Chemicals, which includes compounds like digitalines and their derivatives.","(ProductIdentifier) Digitalines, their salts, ethers, esters, and other derivatives are identified as organic chemical compounds under Chapter 29 of the HS system.",29 - Chapter 29: Organic Chemicals
What product or substances does the HS code HS:2938900020 refer to in Moroccan Customs Department?,"(HScodeFinder) The HS code HS:2938900020 is classified under Chapter 29, which includes compounds derived from glycyrrhizin.","(ChapterClassifier) Chapter 29 of the HS system is dedicated to organic chemicals, including compounds derived from glycyrrhizin.","(ProductIdentifier) The HS code HS:2938900020 refers to Glycyrrhizine and glycyrrhizates, which may or may not be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives.","Glycyrrhizine and glycyrrhizates, which may or may not be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives."
In which chapter is the HS code HS:2938900020 classified under in Moroccan Customs Department?,"(HScodeFinder) The HS code HS:2938900020 is classified under Chapter 29, which is dedicated to Organic Chemicals.","(ChapterClassifier) Chapter 29 is classified under the broader category of Organic Chemicals, which includes a wide range of chemical compounds.","(ProductIdentifier) The specific HS code HS:2938900020 refers to a type of organic chemical compound, likely a derivative or a specific class within the Organic Chemicals category.",Chapter 29: Organic Chemicals
What is the specific category of organic chemicals represented by the HS code HS:2938900020 in Moroccan Customs Department?,"(HScodeFinder) The HS code HS:2938900020 is classified under the category of organic chemicals, specifically glycyrrhizine and glycyrrhizates, which may or may not be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives.","(ChapterClassifier) The HS code HS:2938900020 falls under Chapter 29, which is dedicated to organic chemicals, except those in the form of salts, and their derivatives, including those derived from organic chemicals.","(ProductIdentifier) The specific category of organic chemicals represented by HS code HS:2938900020 is glycyrrhizine and glycyrrhizates, which may or may than be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives.","Glycyrrhizine and glycyrrhizates, which may or may not be part of the heterosides, natural or synthetically produced, their salts, ethers, esters, and other derivatives."
What is the first level of classification for glycyrrhizine and glycyrrhizates in Moroccan Customs Department?,"(HScodeFinder) The HS code for glycyrrhizine and glycyrrhizates is 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes compounds like glycyrrhizine and glycyrrhizates.",(ProductIdentifier) Glycyrrhizine and glycyrrhizates are identified as organic compounds under Chapter 29 of the Moroccan Customs Department classification.,29 - Chapter 29: Organic Chemicals
